model,hub,season,scenario,outbound_qty
Multistage (tree),1,2,11,0.0
Multistage (tree),1,2,12,0.0
Multistage (tree),1,2,13,0.0
Multistage (tree),1,2,14,0.0
Multistage (tree),1,2,15,0.0
Multistage (tree),1,3,0,0.0
Multistage (tree),1,3,1,0.0
Multistage (tree),1,3,2,0.0
Multistage (tree),1,3,3,0.0
Multistage (tree),1,3,4,0.0
Multistage (tree),1,3,5,0.0
Multistage (tree),1,3,6,0.0
Multistage (tree),1,3,7,0.0
Multistage (tree),1,3,8,0.0
Multistage (tree),1,3,9,0.0
Multistage (tree),1,3,10,0.0
Multistage (tree),1,3,11,0.0
Multistage (tree),1,3,12,0.0
Multistage (tree),1,3,13,0.0
Multistage (tree),1,3,14,0.0
Multistage (tree),1,3,15,0.0
Multistage (tree),1,4,0,0.0
Multistage (tree),1,4,1,0.0
Multistage (tree),1,4,2,0.0
Multistage (tree),1,4,3,0.0
Multistage (tree),1,4,4,0.0
Multistage (tree),1,4,5,0.0
Multistage (tree),1,4,6,0.0
Multistage (tree),1,4,7,0.0
Multistage (tree),1,4,8,0.0
Multistage (tree),1,4,9,0.0
Multistage (tree),1,4,10,0.0
Multistage (tree),1,4,11,0.0
Multistage (tree),1,4,12,0.0
Multistage (tree),1,4,13,0.0
Multistage (tree),1,4,14,0.0
Multistage (tree),1,4,15,0.0
Static,0,1,0,0.0
Static,0,1,1,0.0
Static,0,1,2,0.0
Static,0,1,3,0.0
Static,0,1,4,0.0
Static,0,1,5,0.0
Static,0,1,6,0.0
Static,0,1,7,0.0
Static,0,1,8,0.0
Static,0,1,9,0.0
Static,0,1,10,0.0
Static,0,1,11,0.0
Static,0,1,12,0.0
Static,0,1,13,0.0
Static,0,1,14,0.0
Static,0,1,15,0.0
Static,0,2,0,0.0
Static,0,2,1,0.0
Static,0,2,2,0.0
Static,0,2,3,0.0
Static,0,2,4,0.0
Static,0,2,5,0.0
Static,0,2,6,0.0
Static,0,2,7,0.0
Static,0,2,8,0.0
Static,0,2,9,0.0
Static,0,2,10,0.0
Static,0,2,11,0.0
Static,0,2,12,0.0
Static,0,2,13,0.0
Static,0,2,14,0.0
Static,0,2,15,0.0
Static,0,3,0,0.0
Static,0,3,1,0.0
Static,0,3,2,0.0
Static,0,3,3,0.0
Static,0,3,4,0.0
Static,0,3,5,0.0
Static,0,3,6,0.0
Static,0,3,7,0.0
Static,0,3,8,0.0
Static,0,3,9,0.0
Static,0,3,10,0.0
Static,0,3,11,0.0
Static,0,3,12,0.0
Static,0,3,13,0.0
Static,0,3,14,0.0
Static,0,3,15,0.0
Static,0,4,0,0.0
Static,0,4,1,0.0
Static,0,4,2,0.0
Static,0,4,3,0.0
Static,0,4,4,0.0
Static,0,4,5,0.0
Static,0,4,6,0.0
Static,0,4,7,0.0
Static,0,4,8,0.0
Static,0,4,9,0.0
Static,0,4,10,0.0
Static,0,4,11,0.0
Static,0,4,12,0.0
Static,0,4,13,0.0
Static,0,4,14,0.0
Static,0,4,15,0.0
Static,1,1,0,0.0
Static,1,1,1,0.0
Static,1,1,2,0.0
Static,1,1,3,0.0
Static,1,1,4,0.0
Static,1,1,5,0.0
Static,1,1,6,0.0
Static,1,1,7,0.0
Static,1,1,8,0.0
Static,1,1,9,0.0
Static,1,1,10,0.0
Static,1,1,11,0.0
Static,1,1,12,0.0
Static,1,1,13,0.0
Static,1,1,14,0.0
Static,1,1,15,0.0
Static,1,2,0,0.0
Static,1,2,1,0.0
Static,1,2,2,0.0
Static,1,2,3,0.0
Static,1,2,4,0.0
Static,1,2,5,0.0
Static,1,2,6,0.0
Static,1,2,7,0.0
Static,1,2,8,0.0
Static,1,2,9,0.0
Static,1,2,10,0.0
Static,1,2,11,0.0
Static,1,2,12,0.0
Static,1,2,13,0.0
Static,1,2,14,0.0
Static,1,2,15,0.0
Static,1,3,0,0.0
Static,1,3,1,0.0
Static,1,3,2,0.0
Static,1,3,3,0.0
Static,1,3,4,0.0
Static,1,3,5,0.0
Static,1,3,6,0.0
Static,1,3,7,0.0
Static,1,3,8,0.0
Static,1,3,9,0.0
Static,1,3,10,0.0
Static,1,3,11,0.0
Static,1,3,12,0.0
Static,1,3,13,0.0
Static,1,3,14,0.0
Static,1,3,15,0.0
Static,1,4,0,0.0
Static,1,4,1,0.0
Static,1,4,2,0.0
Static,1,4,3,0.0
Static,1,4,4,0.0
Static,1,4,5,0.0
Static,1,4,6,0.0
Static,1,4,7,0.0
Static,1,4,8,0.0
Static,1,4,9,0.0
Static,1,4,10,0.0
Static,1,4,11,0.0
Static,1,4,12,0.0
Static,1,4,13,0.0
Static,1,4,14,0.0
Static,1,4,15,0.0
MNP,0,1,0,0.0
MNP,0,1,1,0.0
MNP,0,1,2,0.0
MNP,0,1,3,0.0
MNP,0,1,4,0.0
MNP,0,1,5,0.0
MNP,0,1,6,0.0
MNP,0,1,7,0.0
MNP,0,1,8,0.0
MNP,0,1,9,0.0
MNP,0,1,10,0.0
MNP,0,1,11,0.0
MNP,0,1,12,0.0
MNP,0,1,13,0.0
MNP,0,1,14,0.0
MNP,0,1,15,0.0
MNP,0,2,0,0.0
MNP,0,2,1,0.0
MNP,0,2,2,0.0
MNP,0,2,3,0.0
MNP,0,2,4,0.0
MNP,0,2,5,0.0
MNP,0,2,6,0.0
MNP,0,2,7,0.0
MNP,0,2,8,0.0
MNP,0,2,9,0.0
MNP,0,2,10,0.0
MNP,0,2,11,0.0
MNP,0,2,12,0.0
MNP,0,2,13,0.0
MNP,0,2,14,0.0
MNP,0,2,15,0.0
MNP,0,3,0,0.0
MNP,0,3,1,0.0
MNP,0,3,2,0.0
MNP,0,3,3,0.0
MNP,0,3,4,0.0
MNP,0,3,5,0.0
MNP,0,3,6,0.0
MNP,0,3,7,0.0
MNP,0,3,8,0.0
MNP,0,3,9,0.0
MNP,0,3,10,0.0
MNP,0,3,11,0.0
MNP,0,3,12,0.0
MNP,0,3,13,0.0
MNP,0,3,14,0.0
MNP,0,3,15,0.0
MNP,0,4,0,0.0
MNP,0,4,1,0.0
MNP,0,4,2,0.0
MNP,0,4,3,0.0
MNP,0,4,4,0.0
MNP,0,4,5,0.0
MNP,0,4,6,0.0
MNP,0,4,7,0.0
MNP,0,4,8,0.0
MNP,0,4,9,0.0
MNP,0,4,10,0.0
MNP,0,4,11,0.0
MNP,0,4,12,0.0
MNP,0,4,13,0.0
MNP,0,4,14,0.0
MNP,0,4,15,0.0
MNP,1,1,0,0.0
MNP,1,1,1,0.0
MNP,1,1,2,0.0
MNP,1,1,3,0.0
MNP,1,1,4,0.0
MNP,1,1,5,0.0
MNP,1,1,6,0.0
MNP,1,1,7,0.0
MNP,1,1,8,0.0
MNP,1,1,9,0.0
MNP,1,1,10,0.0
MNP,1,1,11,0.0
MNP,1,1,12,0.0
MNP,1,1,13,0.0
MNP,1,1,14,0.0
MNP,1,1,15,0.0
MNP,1,2,0,0.0
MNP,1,2,1,0.0
MNP,1,2,2,0.0
MNP,1,2,3,0.0
MNP,1,2,4,0.0
MNP,1,2,5,0.0
MNP,1,2,6,0.0
MNP,1,2,7,0.0
MNP,1,2,8,0.0
MNP,1,2,9,0.0
MNP,1,2,10,0.0
MNP,1,2,11,0.0
MNP,1,2,12,0.0
MNP,1,2,13,0.0
MNP,1,2,14,0.0
MNP,1,2,15,0.0
MNP,1,3,0,0.0
MNP,1,3,1,0.0
MNP,1,3,2,0.0
MNP,1,3,3,0.0
MNP,1,3,4,0.0
MNP,1,3,5,0.0
MNP,1,3,6,0.0
MNP,1,3,7,0.0
MNP,1,3,8,0.0
MNP,1,3,9,0.0
MNP,1,3,10,0.0
MNP,1,3,11,0.0
MNP,1,3,12,0.0
MNP,1,3,13,0.0
MNP,1,3,14,0.0
MNP,1,3,15,0.0
MNP,1,4,0,0.0
MNP,1,4,1,0.0
MNP,1,4,2,0.0
MNP,1,4,3,0.0
MNP,1,4,4,0.0
MNP,1,4,5,0.0
MNP,1,4,6,0.0
MNP,1,4,7,0.0
MNP,1,4,8,0.0
MNP,1,4,9,0.0
MNP,1,4,10,0.0
MNP,1,4,11,0.0
MNP,1,4,12,0.0
MNP,1,4,13,0.0
MNP,1,4,14,0.0
MNP,1,4,15,0.0
MRP,0,1,0,0.0
MRP,0,1,1,0.0
MRP,0,1,2,0.0
MRP,0,1,3,0.0
MRP,0,1,4,0.0
MRP,0,1,5,0.0
MRP,0,1,6,0.0
MRP,0,1,7,0.0
MRP,0,1,8,0.0
MRP,0,1,9,0.0
MRP,0,1,10,0.0
MRP,0,1,11,0.0
MRP,0,1,12,0.0
MRP,0,1,13,0.0
MRP,0,1,14,0.0
MRP,0,1,15,0.0
MRP,0,2,0,0.0
MRP,0,2,1,0.0
MRP,0,2,2,0.0
MRP,0,2,3,0.0
MRP,0,2,4,0.0
MRP,0,2,5,0.0
MRP,0,2,6,0.0
MRP,0,2,7,0.0
MRP,0,2,8,0.0
MRP,0,2,9,0.0
MRP,0,2,10,0.0
MRP,0,2,11,0.0
MRP,0,2,12,0.0
MRP,0,2,13,0.0
MRP,0,2,14,0.0
MRP,0,2,15,0.0
MRP,0,3,0,0.0
MRP,0,3,1,0.0
MRP,0,3,2,0.0
MRP,0,3,3,0.0
MRP,0,3,4,0.0
MRP,0,3,5,0.0
MRP,0,3,6,0.0
MRP,0,3,7,0.0
MRP,0,3,8,0.0
MRP,0,3,9,0.0
MRP,0,3,10,0.0
MRP,0,3,11,0.0
MRP,0,3,12,0.0
MRP,0,3,13,0.0
MRP,0,3,14,0.0
MRP,0,3,15,0.0
MRP,0,4,0,0.0
MRP,0,4,1,0.0
MRP,0,4,2,0.0
MRP,0,4,3,0.0
MRP,0,4,4,0.0
MRP,0,4,5,0.0
MRP,0,4,6,0.0
MRP,0,4,7,0.0
MRP,0,4,8,0.0
MRP,0,4,9,0.0
MRP,0,4,10,0.0
MRP,0,4,11,0.0
MRP,0,4,12,0.0
MRP,0,4,13,0.0
MRP,0,4,14,0.0
MRP,0,4,15,0.0
MRP,1,1,0,0.0
MRP,1,1,1,0.0
MRP,1,1,2,0.0
MRP,1,1,3,0.0
MRP,1,1,4,0.0
MRP,1,1,5,0.0
MRP,1,1,6,0.0
MRP,1,1,7,0.0
MRP,1,1,8,0.0
MRP,1,1,9,0.0
MRP,1,1,10,0.0
MRP,1,1,11,0.0
MRP,1,1,12,0.0
MRP,1,1,13,0.0
MRP,1,1,14,0.0
MRP,1,1,15,0.0
MRP,1,2,0,0.0
MRP,1,2,1,0.0
MRP,1,2,2,0.0
MRP,1,2,3,0.0
MRP,1,2,4,0.0
MRP,1,2,5,0.0
MRP,1,2,6,0.0
MRP,1,2,7,0.0
MRP,1,2,8,0.0
MRP,1,2,9,0.0
MRP,1,2,10,0.0
MRP,1,2,11,0.0
MRP,1,2,12,0.0
MRP,1,2,13,0.0
MRP,1,2,14,0.0
MRP,1,2,15,0.0
MRP,1,3,0,0.0
MRP,1,3,1,0.0
MRP,1,3,2,0.0
MRP,1,3,3,0.0
MRP,1,3,4,0.0
MRP,1,3,5,0.0
MRP,1,3,6,0.0
MRP,1,3,7,0.0
MRP,1,3,8,0.0
MRP,1,3,9,0.0
MRP,1,3,10,0.0
MRP,1,3,11,0.0
MRP,1,3,12,0.0
MRP,1,3,13,0.0
MRP,1,3,14,0.0
MRP,1,3,15,0.0
MRP,1,4,0,0.0
MRP,1,4,1,0.0
MRP,1,4,2,0.0
MRP,1,4,3,0.0
MRP,1,4,4,0.0
MRP,1,4,5,0.0
MRP,1,4,6,0.0
MRP,1,4,7,0.0
MRP,1,4,8,0.0
MRP,1,4,9,0.0
MRP,1,4,10,0.0
MRP,1,4,11,0.0
MRP,1,4,12,0.0
MRP,1,4,13,0.0
MRP,1,4,14,0.0
MRP,1,4,15,0.0
